in: U-value (wall),in: Fin Depth,in: Distance btw fins,in: Shading type,in: Orientation,in: Orientation angle,in: g-value,in: Transmittance,in: U-value (window),in: Glazing ratio,in: Window height,in: Sill height,out: Cooling (kWh/m2.year),out: Heating (kWh/m2.year),out: Lighting (kWh/m2.year),out: Total (kWh/m2.year),out: Dissatisfied (% users),out: Cooling Load (W/m2),out: Heating Load (W/m2)
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.4,3,0,5.876669,42.651231,4.97965,93.357135,28.484944,109.130697,38.357192
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.6,3,0,7.25233,31.743492,4.0543,83.526975,28.506094,119.039594,32.079238
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.8,3,0,8.376115,22.324947,3.65195,75.160935,28.131343,119.546375,25.365585
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.4,3,0,5.319483,43.60506,5.10715,93.621822,27.959151,105.501256,38.127562
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.6,3,0,6.532908,32.70317,4.00585,83.276539,27.570901,112.468393,31.884501
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.8,3,0,7.445332,23.012501,3.8759,74.603151,26.432227,110.036166,25.163506
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.4,3,0,6.155783,42.320755,5.4245,93.911168,28.774438,111.037792,38.674134
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.6,3,0,7.31963,31.640376,4.07825,83.521197,28.671714,118.972408,32.331123
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.8,3,0,8.614983,22.284697,3.4888,75.301519,28.745271,120.294888,25.65146
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.4,3,0,5.570657,43.263058,5.5774,94.031475,28.245229,104.548665,38.357192
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.6,3,0,6.601675,32.706457,4.008,83.379495,27.736568,112.420114,32.079238
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.8,3,0,7.513989,23.136916,3.7554,74.712061,26.803781,109.989253,25.365585
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.4,3,0,5.087643,44.279584,5.73205,94.544053,27.848508,102.099353,38.127562
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.6,3,0,6.031889,33.627166,4.4579,83.8284,26.973291,105.583433,31.884501
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.8,3,0,6.672853,24.011827,3.8674,74.34052,25.373132,101.304359,25.163506
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.4,3,0,5.439154,43.585043,5.6349,94.154338,28.196791,101.083955,38.674134
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.6,3,0,6.116529,33.35352,4.1785,83.313175,27.179707,102.26295,32.331123
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.8,3,0,6.936297,23.792881,3.8555,74.449641,26.079575,101.357784,25.65146
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.4,3,0,5.002771,44.503464,5.80405,94.561426,27.911465,96.355919,38.357192
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.6,3,0,5.703139,34.154042,4.77005,84.074497,26.579179,99.949768,32.079238
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.8,3,0,6.087955,24.740332,3.86005,74.039101,24.752369,92.706139,25.365585
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.4,3,0,4.641177,45.393634,6.1949,95.345945,27.69747,94.893887,38.127562
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.6,3,0,5.231653,34.998603,4.93695,84.325089,26.12705,94.422503,31.884501
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.8,3,0,5.447264,25.384709,4.0795,73.938784,23.910125,87.70163,25.163506
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,3,0,6.033162,25.972276,4.7324,76.059821,24.90533,91.719812,26.610053
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,3,0,7.44159,23.947852,3.7527,75.333499,27.090401,107.401659,26.24675
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,0,8.793875,22.254913,3.6717,75.719217,29.187364,122.116777,25.766809
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,3,0,5.475284,26.721309,4.97965,76.102518,24.287726,82.598066,26.396924
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,3,0,6.82545,24.672318,4.0543,75.395926,26.13489,102.521658,26.029695
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,0,7.715702,23.173812,3.65195,74.925416,27.371274,111.307422,25.492822
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,3,0,5.001542,27.39158,5.10715,76.184008,23.809799,80.125737,26.235355
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,3,0,6.21419,25.416791,4.00585,75.134468,25.3191,96.866289,25.865723
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,0,6.858794,23.803971,3.8759,74.399774,25.8676,102.245174,25.284589
